country,year,unit,reform,tfr,gdp,labor_rate_female,labor_rate_male,tertiary_school_enrollment_total,avg_yrs_schooling_female,avg_yrs_schooling_total,life_expectancy,hdi,infant_mortality,gini
France,1985,1,0,1.86,9778.085,46.475,68.956,29.29409981,6.25,6.61,75.3,,8.5,33.34
France,1986,1,0,1.85,13566.66,47.092,68.699,29.83679962,,,75.6,,8.3,33.117
France,1987,1,0,1.83,16340.73,46.859,67.897,30.31715012,,,75.8,,8.1,32.894
France,1988,1,0,1.81,17727.51,46.679,66.967,31.36263084,,,76.1,,7.9,32.672
France,1989,1,0,1.79,17747.58,46.774,66.578,34.87462997,,,76.34878049,,7.7,32.449
France,1990,1,0,1.77,21865.56,46.68,64.54,37.18001175,6.98,7.33,76.6,0.79,7.5,32.227
France,1991,1,0,1.75,21675.71,46.877,64.78,39.33520889,,,76.84878049,0.799,7.1,32.21
France,1992,1,0,1.74,23814.23,47.303,64.643,42.43827057,,,77.1,0.806,6.7,32.194
France,1993,1,0,1.73,22380.33,47.775,64.107,45.40959167,,,77.3,0.809,6.2,32.178
France,1994,1,1,1.73,23496.37,47.97,63.739,49.6853714,,,77.64878049,0.824,5.7,32.161
France,1995,1,1,1.74,26889.43,48.216,63.397,51.34815979,8.23,8.54,77.75121951,0.829,5.3,32.145
France,1996,1,1,1.75,26870.29,48.599,63.661,53.61407089,,,77.95365854,0.834,4.9,32.129
France,1997,1,1,1.77,24226.88,48.27,63.324,54.30355835,,,78.30487805,0.839,4.6,31.963
France,1998,1,1,1.78,24971.57,48.591,62.998,54.02806091,,,78.60487805,0.843,4.4,31.705
France,1999,1,1,1.81,24678.39,48.917,63.23,53.00508118,,,78.75609756,0.847,4.3,32.538
France,2000,1,1,1.89,22416.43,49.076,62.932,50.60308075,9.27,9.53,79.05609756,0.844,4.1,32.602
France,2001,1,1,1.9,22449.34,48.865,62.714,50.44728851,,,79.15853659,0.847,3.9,32.558
Austria,1985,2,0,1.47,9172.097,40.11,70.53,25.02153015,7.47,8.41,73.81463415,,10.7,23.031
Austria,1986,2,0,1.45,13083.07,40.56,70.57,26.38293076,,,74.31707317,,10.1,23.031
Austria,1987,2,0,1.43,16392.77,41.45,70.41,27.68074036,,,74.76829268,,9.4,23.031
Austria,1988,2,0,1.45,17578.62,41.77,69.55,29.60707092,,,75.21707317,,8.9,24.082
Austria,1989,2,0,1.45,17468.95,42.12,69.32,31.06666946,,,75.26585366,,8.4,25.134
Austria,1990,2,0,1.46,21680.99,43.03,69.42,32.9034996,7.74,8.64,75.56829268,0.823,8,26.185
Austria,1991,2,0,1.51,22410.91,45.1,70.63,34.83153915,,,75.61707317,0.826,7.6,27.236
Austria,1992,2,0,1.51,24880.16,44.83,69.61,38.06856155,,,75.81707317,0.832,7.2,28.288
Austria,1993,2,0,1.5,24081.53,45.3,69.29,40.23593903,,,76.06829268,0.836,6.7,29.339
Austria,1994,2,0,1.47,25646.7,48.646,70.577,42.8672905,,,76.4195122,0.841,6.2,30.39
Austria,1995,2,0,1.42,30325.85,54.149,73.743,46.17290115,7.97,8.87,76.66829268,0.847,5.7,31.442
Austria,1996,2,0,1.45,29809.08,53.718,73.187,49.192379,,,76.87073171,0.852,5.3,31.058
Austria,1997,2,0,1.39,26705.48,53.842,72.578,50.94929886,,,77.3195122,0.856,5,30.674
Austria,1998,2,0,1.37,27361.88,54.668,72.777,53.56195068,,,77.67073171,0.861,4.8,30.291
Austria,1999,2,0,1.34,27183.48,55.088,73.025,,,,77.87560976,0.865,4.7,29.85
Austria,2000,2,0,1.36,24625.6,55.203,72.662,,8.09,9.04,78.12682927,0.87,4.6,29.409
Austria,2001,2,0,1.33,24558.76,50.84,69.34,,,,78.57560976,0.874,4.5,28.969
Belgium,1985,3,0,1.51,8750.819,36.462,64.484,31.09391975,8.21,8.58,74.5202439,,9.8,25.203
Belgium,1986,3,0,1.54,12170.04,36.941,63.757,31.81633949,,,74.73170732,,9.5,25.367
Belgium,1987,3,0,1.54,15135.85,36.557,62.553,33.24792099,,,75.36585366,,9.2,25.531
Belgium,1988,3,0,1.57,16391.09,36.45,61.655,34.45483017,,,75.56585366,,8.9,25.694
Belgium,1989,3,0,1.58,16525.06,36.211,61.521,36.00259018,,,75.63268293,,8.6,25.509
Belgium,1990,3,0,1.62,20600.38,36.552,61.042,37.97227859,8.74,9.1,76.05195122,0.814,8.4,25.324
Belgium,1991,3,0,1.66,21041.66,38.006,61.395,39.2387085,,,76.19219512,0.818,8.1,25.139
Belgium,1992,3,0,1.65,23372.62,38.901,61.153,,,,76.35121951,0.835,7.7,24.954
Belgium,1993,3,0,1.61,22283.94,39.576,60.616,45.47615051,,,76.34536585,0.849,7.3,25.815
Belgium,1994,3,0,1.56,24208.55,40.165,61.163,49.27169037,,,76.69170732,0.857,6.8,26.675
Belgium,1995,3,0,1.56,28413.83,40.531,61.173,55.46929932,9.48,9.78,76.84073171,0.864,6.3,27.536
Belgium,1996,3,0,1.59,27489.56,40.552,60.903,57.4932518,,,77.18731707,0.87,5.9,28.397
Belgium,1997,3,0,1.6,24820.94,41.004,60.662,,,,77.37073171,0.874,5.5,26.875
Belgium,1998,3,0,1.6,25338.44,41.659,60.644,,,,77.47317073,0.876,5.2,28.381
Belgium,1999,3,0,1.62,25252.8,43.171,61.228,56.18629074,,,77.6195122,0.879,5,29.886
Belgium,2000,3,0,1.67,23098.89,43.649,61.506,56.20183182,9.97,10.2,77.72195122,0.884,4.8,31.392
Belgium,2001,3,0,1.67,23015.07,41.867,60.507,56.71488953,,,77.97317073,0.889,4.7,32.898
Canada,1985,4,0,1.67,14170.12,54.929,76.728,,9.6,9.83,76.32731707,,8,32.025
Canada,1986,4,0,1.675,14521.18,55.72,76.852,71.70519257,,,76.46390244,,7.7,31.863
Canada,1987,4,0,1.68,16377.69,56.459,76.848,,,,76.77878049,,7.5,31.702
Canada,1988,4,0,1.68,19012.57,57.42,76.626,,,,76.85878049,,7.3,31.541
Canada,1989,4,0,1.77,20794.68,58.109,76.763,83.91548157,,,77.12487805,,7,31.428
Canada,1990,4,0,1.83,21525.86,58.499,76.119,89.89305115,10.15,10.28,77.43658537,0.861,6.8,31.314
Canada,1991,4,0,1.72,21846.79,58.431,75.043,94.3216095,,,77.59341463,0.865,6.6,31.201
Canada,1992,4,0,1.71,20950.33,57.837,73.857,96.48805237,,,77.83804878,0.869,6.4,31.087
Canada,1993,4,0,1.69,20186.8,57.662,73.314,87.64900208,,,77.70487805,0.867,6.2,31.521
Canada,1994,4,0,1.69,19997.62,57.519,73.098,89.9769516,,,77.87170732,0.873,6,31.955
Canada,1995,4,0,1.67,20679.63,57.48,72.462,90.46405792,10.5,10.63,77.97731707,0.877,5.8,32.389
Canada,1996,4,0,1.63,21296.97,57.465,72.168,88.79502106,,,78.2202439,0.88,5.6,32.823
Canada,1997,4,0,1.57,21901.56,57.79,72.228,,,,78.41243902,0.88,5.5,33.177
Canada,1998,4,0,1.56,21024.59,58.379,72.122,58.90084076,,,78.62365854,0.88,5.4,33.282
